"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"54","10045","1883.0",-24.3201,-47.0025,"ChIJVz8GnXMm0JQRoVzVi5CqyNE"
"55","10046","1895.0",-23.7142,-47.4127,"Ei5QcmHDp2EgUmF1bCBHb21lcyBkZSBBYnJldSwgU8OjbyBQYXVsbywgQnJhemlsIi4qLAoUChIJh6fEfmF-z5QRKpBzmyq42aASFAoSCa1YL0Z9Wc6UERd8e-HiQVIe"
"56","10047","1895.0",-23.7141,-47.4123,"ChIJqyofpGN-z5QRys8Ik0ZPYgg"
"57","10048","1895.0",-23.7138,-47.4117,"ChIJ4RaCj2F-z5QR8dJp2r7XHGw"
"58","10049","1899.0",-23.8141,-47.7166,"ChIJv-UNAtuexZQRtDlGFxyqI6Y"
"59","1005","13647.0",-10.7893,-65.3301,"ChIJDQDOF7nF05MRCkDhALABULM"
"60","10050","1899.0",-23.8103,-47.7239,"ChIJX4gGWEuexZQRNB31jBYPlkM"
"61","10051","1904.0",-22.9506,-45.4832,"ChIJKcTuDHzwzJQRV_HmVjsP7Ng"
"62","10052","1904.0",-22.9506,-45.4832,"ChIJKcTuDHzwzJQRV_HmVjsP7Ng"
"63","10053","1904.0",-22.9506,-45.4832,"ChIJKcTuDHzwzJQRV_HmVjsP7Ng"
"64","10054","1904.0",-22.9469,-45.4812,"ChIJpSpx53rwzJQRmq-6NASVFX4"
"65","10055","1904.0",-22.9506,-45.4832,"ChIJKcTuDHzwzJQRV_HmVjsP7Ng"
"66","10056","1918.0",-23.0567,-46.3544,"ChIJdUP8zzCjzpQRcp6BtSj3R30"
"67","10057","1918.0",-23.0567,-46.3567,"ChIJidc7vTajzpQR6Vd6d_BHG-c"
"68","10058","1918.0",-23.0567,-46.3544,"ChIJdUP8zzCjzpQRcp6BtSj3R30"
"69","10059","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"70","1006","13615.0",-14.2193,-42.7797,"ChIJT1UU5nvEWgcRdPTmL9-mtLY"
"71","10060","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"72","10061","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"73","10062","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"74","10063","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"75","10064","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"76","10065","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"77","10066","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"78","10067","1920.0",-22.722,-47.6366,"ChIJ7YkM46QxxpQRG78Xex-fvqU"
"79","10068","1920.0",-22.7242,-47.6515,"ChIJu828eQsxxpQRC6SCH4N_6OM"
"80","10069","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"81","1007","13627.0",-18.7771,-42.9375,"ChIJJYIvgk1LrgARUAzFinFgwHc"
"82","10070","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"83","10071","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"84","10072","1920.0",-22.7224,-47.6373,"ChIJZfIG46QxxpQRdTtI0G0e9Hk"
"85","10073","1920.0",-22.8429,-47.6066,"ChIJL3bWIqs8xpQRGu_KzUZQHtw"
"86","10074","13119.0",-23.1925,-49.3857,"ChIJ32dsB8CqwZQRjhroq3Tr7Ao"
"87","10075","13119.0",-23.1959,-49.3826,"ChIJh3OFZpSqwZQRwbJc1xQnpVQ"
"88","10076","13119.0",-23.1959,-49.3826,"ChIJh3OFZpSqwZQRwbJc1xQnpVQ"
"89","10077","1925.0",-21.9944,-49.4577,"ChIJSeTUkG2sv5QR3M2K4Gt9sXs"
